Part #,Sub-Assembly,Description,Copies,Thickness(T),Width(W),Length(L),Material Type,Material Name,Can Rotate,
C-001,Kitchen2, 001,1,25.4mm,100.0mm, 1721.5mm,DL,Beech (H),yes,
C-002,Kitchen2, 002,1,25.4mm,100.0mm, 175.1mm,DL,Beech,yes,
C-003,Kitchen2, 003,1,25.4mm,100.0mm, 233.3mm,DL,Beech,yes,
C-004,Kitchen2, 004,1,25.4mm,100.0mm, 1456.7mm,DL,Beech,yes,
C-005,Kitchen2, 005,1,25.4mm,100.0mm, 354.5mm,DL,Beech (H),yes,
C-006,Kitchen2, 006,1,25.4mm,100.0mm, 1721.5mm,DL,Beech (H),yes,
C-007,Kitchen2, 007,1,25.4mm,100.0mm, 175.1mm,DL,Beech,yes,
C-008,Kitchen2, 008,1,25.4mm,100.0mm, 233.3mm,DL,Beech,yes,
C-009,Kitchen2, 009,1,25.4mm,100.0mm, 1456.7mm,DL,Beech,yes,
C-010,Kitchen2, 010,1,25.4mm,100.0mm, 354.5mm,DL,Beech (H),yes,
C-011,Kitchen2, 011,1,25.4mm, 69.3mm,955.0mm,DL,Beech,yes,
C-012,Kitchen2, 012,1,25.4mm,60.0mm,955.0mm,DL,Beech,yes,
C-013,Kitchen2, 013,1,25.4mm,50.0mm,955.0mm,DL,Beech,yes,
C-014,Kitchen2, 014,1,25.4mm,50.0mm,955.0mm,DL,Beech,yes,
C-015,Kitchen2, 015,1,25.4mm,50.0mm,955.0mm,DL,Beech,yes,
C-016,Kitchen2, 016,1,25.4mm,50.0mm,955.0mm,DL,Beech,yes,
C-017,Kitchen2, 017,1,25.4mm,60.0mm,955.0mm,DL,Beech,yes,
C-018,Kitchen2, 018,1,25.4mm,60.0mm,955.0mm,DL,Beech,yes,
C-019,Kitchen2, 019,1,25.4mm, 68.9mm,955.0mm,DL,Beech,yes,
C-020,Kitchen2, 020,1,25.4mm, 69.6mm,955.0mm,DL,Beech,yes,
C-021,Kitchen2, 021,1,25.4mm,80.0mm,955.0mm,DL,Beech,yes,
C-022,, 022,8,25.4mm,55.0mm,775.0mm,DL,Beech,yes,
C-023,, 023,8,25.4mm,60.0mm, 237.1mm,DL,Beech,yes,
C-024,Kitchen2, 024,1,25.4mm,60.0mm,955.0mm,DL,Beech,yes,
C-025,Kitchen2, 025,1,25.4mm,60.0mm,955.0mm,DL,Beech,yes,
C-026,Kitchen2, 026,1,25.4mm,100.0mm,305.0mm,DL,Beech (H),yes,
C-027,Kitchen2, 027,1,25.4mm,100.0mm,310.0mm,DL,Beech (H),yes,
C-028,Kitchen2, 028,1,25.4mm,36.0mm,310.0mm,DL,Beech (H),yes,
C-029,Kitchen2, 029,1,25.4mm,36.0mm,310.0mm,DL,Beech (H),yes,
C-030,Kitchen2, 030,1,25.4mm,36.0mm, 354.5mm,DL,Beech (H),yes,
C-031,Kitchen2, 031,1,25.4mm,36.0mm, 354.5mm,DL,Beech (H),yes,
C-032,Kitchen2, 032,1,25.4mm,20.0mm,23.0mm,DL,Beech (H),yes,
C-033,Kitchen2, 033,1,25.4mm,20.0mm,23.0mm,DL,Beech (H),yes,
C-034,Kitchen2, 034,1,25.4mm,20.0mm, 35.3mm,DL,Beech (H),yes,
C-035,Kitchen2, 035,1,25.4mm,20.0mm, 35.3mm,DL,Beech (H),yes,
C-036,Kitchen2, 036,1,25.4mm,20.0mm, 35.3mm,DL,Beech (H),yes,
C-037,Kitchen2, 037,1,25.4mm,20.0mm, 35.3mm,DL,Beech (H),yes,
C-038,Kitchen2, 038,1,25.4mm,20.0mm,299.0mm,DL,Beech (H),yes,
C-039,Kitchen2, 039,1,25.4mm,20.0mm,299.0mm,DL,Beech (H),yes,
C-040,Kitchen2, 040,1,25.4mm,20.0mm,299.0mm,DL,Beech (H),yes,
C-041,Kitchen2, 041,1,25.4mm,20.0mm,299.0mm,DL,Beech (H),yes,
C-042,Kitchen2, 042,1,25.4mm,20.0mm, 327.5mm,DL,Beech (H),yes,
C-043,Kitchen2, 043,1,25.4mm,20.0mm, 327.5mm,DL,Beech (H),yes,
C-044,Kitchen2, 044,1,25.4mm,40.0mm, 86.3mm,DL,Beech,yes,
C-045,Kitchen2, 045,1,25.4mm,40.0mm, 86.3mm,DL,Beech,yes,
C-046,Kitchen2, 046,1,25.4mm,40.0mm, 86.3mm,DL,Beech,yes,
C-047,Kitchen2, 047,1,25.4mm,40.0mm, 86.3mm,DL,Beech,yes,
C-048,Kitchen2, 048,1,25.4mm,40.0mm, 86.3mm,DL,Beech,yes,
C-049,Kitchen2, 049,1,25.4mm,40.0mm, 86.3mm,DL,Beech,yes,
C-050,Kitchen2, 050,1,25.4mm,40.0mm, 86.3mm,DL,Beech,yes,
C-051,Kitchen2, 051,1,25.4mm,40.0mm, 86.3mm,DL,Beech,yes,
C-052,Kitchen2, 052,1,25.4mm,80.0mm,955.0mm,DL,Beech,yes,
C-053,Kitchen2, A,1,25.4mm,193.0mm,2100.0mm,DL,Stock,yes,
C-054,Kitchen2, B,1,25.4mm,150.0mm,2100.0mm,DL,Stock,yes,
C-055,Kitchen2, C,1,25.4mm,143.0mm,2100.0mm,DL,Stock,yes,
C-056,Kitchen2, D,1,25.4mm,170.0mm,2100.0mm,DL,Stock,yes,
C-057,Kitchen2, E,1,25.4mm,185.0mm,2100.0mm,DL,Stock,yes,
C-058,Kitchen2, F,1,25.4mm,210.0mm,2100.0mm,DL,Stock,yes,
C-059,Kitchen2, G,1,25.4mm,135.0mm,2100.0mm,DL,Stock,yes,
C-060,Kitchen2, H,1,25.4mm,225.0mm,2100.0mm,DL,Stock,yes,

